flat,mall,mall_dist,num_mall_2km
588A MONTREAL DR,Sun Plaza,0.7358709890745465,3
209 JURONG EAST ST 21,Westgate,0.4989137292231018,5
621 WOODLANDS DR 52,888 Plaza,0.4558706196455925,4
360B ADMIRALTY DR,Sun Plaza,0.4741209636735404,5
218 YISHUN ST 21,Northpoint City,0.536647582462809,5
586 WOODLANDS DR 16,888 Plaza,0.9438195300563176,5
53 KENT RD,Serangoon Plaza,0.7204719079029526,13
278 BISHAN ST 24,Junction 8,0.969171865453555,4
3 HOLLAND CL,The Star Vista,0.9248454040447636,2
431D YISHUN AVE 1,Wisteria Mall,0.6741553994139202,3
475B UPP SERANGOON CRES,Hougang Mall,0.786570069487509,6
530 BT BATOK ST 51,West Mall,0.7016082343172981,3
22 JLN MEMBINA,Tiong Bahru Plaza,0.19224392304721669,4
871 YISHUN ST 81,Wisteria Mall,0.6861451641308088,2
631 JURONG WEST ST 65,Pioneer Mall,0.3827606924574821,4
269A PUNGGOL FIELD,Waterway Point,0.5129468502921434,6
118 LOR 1 TOA PAYOH,HDB Hub,0.8509359761771861,4
349 YISHUN AVE 11,Junction 9,0.7883732655568143,3
405 BT BATOK WEST AVE 7,Keat Hong Shopping Centre,1.2959320130558512,4
301 CLEMENTI AVE 4,The Clementi Mall,0.7395908934313933,3
2 EAST COAST RD,Bedok Mall,1.5577417854627134,4
682 RACE COURSE RD,City Square Mall,0.33441875531466986,14
115 JURONG EAST ST 13,JCube,0.892971412407506,6
602 YISHUN ST 61,Northpoint City,0.6160927939339442,3
419 ANG MO KIO AVE 10,AMK Hub,0.7736341304076907,3
989B JURONG WEST ST 93,Pioneer Mall,0.677349127405754,3
299A TAMPINES ST 22,Eastpoint Mall,0.8259797823207267,5
628 YISHUN ST 61,Wisteria Mall,0.47629309204069287,3
211A COMPASSVALE LANE,Rivervale Plaza,0.2991405750648822,8
272A PUNGGOL WALK,Waterway Point,0.4027680637596534,6
303A ANCHORVALE LINK,Compass One,0.7255180157106879,9
119 ANG MO KIO AVE 3,Broadway Plaza,0.2982987628191649,2
705 WOODLANDS DR 40,888 Plaza,0.3059473494009415,5
101 C'WEALTH CRES,The Star Vista,1.3876678799121225,2
270 TAMPINES ST 21,Tampines Mall,0.5464239330507347,6
305 UBI AVE 1,Singapore Post Centre (Singpost Centre),1.4155533012092358,4
276 CHOA CHU KANG AVE 2,Keat Hong Shopping Centre,0.2354969200086512,7
4 TECK WHYE AVE,Teck Whye Shopping Centre,0.2125967461810017,11
9 TOH YI DR,Beauty World Plaza,0.49280946666419784,3
112 SERANGOON NTH AVE 1,Hougang 1,1.1299694110472402,3
804 KING GEORGE'S AVE,Aperia,0.42225530552623897,19
829 YISHUN ST 81,Wisteria Mall,0.9577203287557969,2
204C PUNGGOL FIELD,Rivervale Mall,0.661708400213188,6
698A HOUGANG ST 61,Hougang Green Shopping Mall,0.4792845372019698,7
202 ANG MO KIO AVE 3,Broadway Plaza,0.41752496055465116,2
2 REDHILL CL,Tiong Bahru Plaza,1.1246581691030044,6
864 WOODLANDS ST 83,888 Plaza,0.41232218439316853,5
59B GEYLANG BAHRU,Aperia,1.4362550752087961,3
220 SERANGOON AVE 4,NEX,0.8925999504837238,3
367 CORPORATION DR,Taman Jurong Shopping Centre,0.3478177300793234,3
273 PASIR RIS ST 21,Loyang Point,0.18575901684790902,3
737 YISHUN ST 72,Northpoint City,0.4137998262762266,5
445 HOUGANG AVE 8,Hougang Green Shopping Mall,0.7172037652131494,8
848 YISHUN ST 81,Wisteria Mall,0.694031889532685,3
444 CHOA CHU KANG AVE 4,Sunshine Place,0.4466619767796793,6
244 BT PANJANG RING RD,Fajar Shopping Centre,0.35239281038041803,5
337 HOUGANG AVE 7,The Midtown,0.36786164819268463,5
658 YISHUN AVE 4,Wisteria Mall,0.4728402698265322,3
315B YISHUN AVE 9,Junction 9,0.1622906374706978,4
870 WOODLANDS ST 81,Causeway Point,0.8599728232372809,5
