flat,hawker,hawker_dist,num_hawker_2km
9 REDHILL CL,Blk 115 Bukit Merah View,0.6307168963829567,8
375 HOUGANG ST 31,Market Street Food Centre,0.593923121991788,2
82 MACPHERSON LANE,Blks 79/79A Circuit Road,0.6482055794419465,4
927 HOUGANG ST 91,Market Street Food Centre,2.0260256233811043,0
310C PUNGGOL WALK,Market Street Food Centre,5.804560026728471,0
285B TOH GUAN RD,Market Street Food Centre,1.1494079213751935,1
355 TAMPINES ST 33,Market Street Food Centre,2.1525400210690253,0
390 YISHUN AVE 6,Chong Pang Market & Food Centre,2.2385904249067483,0
122 GEYLANG EAST CTRL,Blk 117 Aljunied Ave 2,0.3972811602668611,8
410 TAMPINES ST 41,Market Street Food Centre,1.446641236040428,1
130 BT MERAH VIEW,Blk 115 Bukit Merah View,0.2764792051041693,8
517 CHOA CHU KANG ST 51,Market Street Food Centre,5.28812405413759,0
18 TECK WHYE LANE,Market Street Food Centre,4.2485162179200975,0
570B WOODLANDS AVE 1,Blks 20/21 Marsiling Lane,2.0295851931192557,0
296 YISHUN ST 20,Chong Pang Market & Food Centre,0.8964765610511174,2
210 BT BATOK ST 21,Market Street Food Centre,1.3645540291105704,1
651 YISHUN AVE 4,Chong Pang Market & Food Centre,1.4926491848656553,2
520 JELAPANG RD,Bukit Timah Market,5.289880468059655,0
405B FERNVALE LANE,Chomp Chomp Food Centre,2.851057378792929,0
612 ELIAS RD,Market Street Food Centre,3.2018571385438332,0
109A DEPOT RD,ABC Brickworks Market & Food Centre,0.6787956280673042,5
206D COMPASSVALE LANE,Market Street Food Centre,3.3241965899758483,0
411B FERNVALE RD,Chomp Chomp Food Centre,3.0965221693633396,0
786D WOODLANDS DR 60,Blks 20/21 Marsiling Lane,2.66586739931182,0
104 BEDOK RESERVOIR RD,Blk 4A Eunos Crescent,1.1648542846959333,3
10 JLN KUKOH,Blk 1 Jalan Kukoh,0.16867421869485777,13
538 JURONG WEST AVE 1,Blk 505 Jurong West Street 52,0.33330374784032685,3
352 TAMPINES ST 33,Market Street Food Centre,2.1923246100368474,0
370 WOODLANDS AVE 1,Blks 20/21 Marsiling Lane,1.6709514844051745,4
314 TAMPINES ST 33,Market Street Food Centre,1.5660088638287244,1
808 TAMPINES AVE 4,Market Street Food Centre,0.9537774962814828,2
602 WOODLANDS DR 42,Blks 20/21 Marsiling Lane,2.2230001208395587,0
271C PUNGGOL WALK,Market Street Food Centre,5.231114857988451,0
37 TANGLIN HALT RD,Tanglin Halt Market,0.3098109575691141,6
401 CHOA CHU KANG AVE 3,Market Street Food Centre,4.0058419707757915,0
301 JURONG EAST ST 32,Market Street Food Centre,0.267997176918894,4
795A YISHUN RING RD,Chong Pang Market & Food Centre,1.4271074276248636,2
41 HOLLAND DR,Holland Village Market & Food Centre,0.4189510584403794,4
633 VEERASAMY RD,Berseh Food Centre,0.27874027957682196,9
5 BEDOK STH AVE 2,Blk 16 Bedok South Road,0.22125300678536242,8
347B YISHUN AVE 11,Chong Pang Market & Food Centre,1.6159373826926349,2
2A BOON TIONG RD,Tiong Bahru Market,0.18333880465114533,14
246 BISHAN ST 22,Blk 320 Shunfu Road,1.188523407481926,3
35 CIRCUIT RD,Blks 79/79A Circuit Road,0.31828405770622953,6
252 HOUGANG AVE 3,Market Street Food Centre,0.7493637569189453,2
611 JURONG WEST ST 65,Blk 505 Jurong West Street 52,2.2995265841598154,0
375 CLEMENTI AVE 4,Blk 448 Clementi Ave 3,0.6473577634943581,3
192 PASIR RIS ST 12,Market Street Food Centre,2.7769453413606913,0
157 YISHUN ST 11,Chong Pang Market & Food Centre,0.635763024608702,2
111 EDGEFIELD PLAINS,Market Street Food Centre,4.741440300575975,0
23 BENDEMEER RD,North Bridge Road Market & Food Centre,1.2876297813299293,6
34 CASSIA CRES,Blk 51 Old Airport Road,0.21981360687352208,9
17 EUNOS CRES,Blk 4A Eunos Crescent,0.335087362339809,5
761 CHOA CHU KANG NTH 5,Market Street Food Centre,5.591992129659782,0
248 JURONG EAST ST 24,Market Street Food Centre,0.2856872336587397,1
771 WOODLANDS DR 60,Blks 20/21 Marsiling Lane,2.3319982664443213,0
6B BOON TIONG RD,Tiong Bahru Market,0.23400651895055705,14
5 SEMBAWANG RD,Sembawang Hill Food Centre,0.14154210180817062,1
212 BT BATOK ST 21,Market Street Food Centre,1.6496872127462983,1
140 BISHAN ST 12,Blk 210 Toa Payoh Lorong 8,0.5453634669829961,4
988B BUANGKOK GREEN,Chomp Chomp Food Centre,2.11113993861749,0
980B BUANGKOK CRES,Market Street Food Centre,2.3459737884393035,0
860 TAMPINES AVE 5,Market Street Food Centre,1.3228870212431687,1
787 CHOA CHU KANG NTH 6,Market Street Food Centre,5.887559682750087,0
281 TAMPINES ST 22,Market Street Food Centre,0.9033117421695942,1
183D RIVERVALE CRES,Market Street Food Centre,4.378260466797914,0
146 JLN BT MERAH,Blk 112 Jalan Bukit Merah,0.6078505631703194,14
128 BT MERAH VIEW,Blk 115 Bukit Merah View,0.34654892628694445,8
695 JURONG WEST CTRL 1,Blk 505 Jurong West Street 52,1.4554205171681034,3
803 CHAI CHEE RD,Blk 208B New Upper Changi Road,0.8924464148817703,6
798 WOODLANDS DR 72,Blks 20/21 Marsiling Lane,2.940594348630648,0
206 BT BATOK ST 21,Market Street Food Centre,1.3300289602040087,1
352 YISHUN RING RD,Chong Pang Market & Food Centre,1.9185205542762538,2
450 BT PANJANG RING RD,Bukit Timah Market,4.983522576599238,0
195C PUNGGOL RD,Market Street Food Centre,5.182961671537578,0
424 SERANGOON CTRL,Market Street Food Centre,1.6804920547071087,3
407 SERANGOON AVE 1,Serangoon Garden Market,1.8972543131984032,3
202B PUNGGOL FIELD,Market Street Food Centre,4.879228315579401,0
374 CLEMENTI AVE 4,Blk 353 Clementi Ave 2,0.6836574988485047,3
727 CLEMENTI WEST ST 2,Blk 726 Clementi West Street 2,0.06048206776803142,3
111 ANG MO KIO AVE 4,Sembawang Hill Food Centre,0.9059271242215852,2
889 TAMPINES ST 81,Market Street Food Centre,1.5743845362099589,2
603 HOUGANG AVE 4,Market Street Food Centre,1.3679748500024638,2
118D JLN MEMBINA,Blk 112 Jalan Bukit Merah,0.30264801004439773,10
243 BISHAN ST 22,Blk 409 Ang Mo Kio Ave 10,1.209016165382323,3
113 BT PURMEI RD,Blk 112 Jalan Bukit Merah,0.5877921523640307,8
345 YISHUN AVE 11,Chong Pang Market & Food Centre,1.7741015331245262,2
607 SENJA RD,Bukit Timah Market,5.014263183114985,0
341 CLEMENTI AVE 5,Blk 353 Clementi Ave 2,0.5688771502754287,3
436 TAMPINES ST 43,Market Street Food Centre,1.7137314443116973,1
401 FAJAR RD,Bukit Timah Market,4.600907879596785,0
588A MONTREAL DR,Chong Pang Market & Food Centre,2.0637570473229805,0
209 JURONG EAST ST 21,Market Street Food Centre,0.6769378361925943,1
621 WOODLANDS DR 52,Blks 20/21 Marsiling Lane,2.5590922618043686,0
360B ADMIRALTY DR,Chong Pang Market & Food Centre,2.3595149187261777,0
218 YISHUN ST 21,Chong Pang Market & Food Centre,0.8843820359806785,2
