flat,supermarket_dist,num_supermarket_2km
204C PUNGGOL FIELD,0.5133144860990959,18
698A HOUGANG ST 61,0.21686659164960778,19
202 ANG MO KIO AVE 3,0.2273381127011835,12
2 REDHILL CL,0.15230006779431868,18
864 WOODLANDS ST 83,0.41388521058110866,15
59B GEYLANG BAHRU,0.29446949693440405,25
220 SERANGOON AVE 4,0.4738078307064694,13
367 CORPORATION DR,0.3478177300793234,12
273 PASIR RIS ST 21,0.18575901684790902,11
737 YISHUN ST 72,0.28959529718340504,17
445 HOUGANG AVE 8,0.36336835981300647,17
848 YISHUN ST 81,0.037147478051031836,14
444 CHOA CHU KANG AVE 4,0.4268574014546885,10
244 BT PANJANG RING RD,0.24540710534474913,9
337 HOUGANG AVE 7,0.5123645300931037,14
658 YISHUN AVE 4,0.7142114741537066,16
315B YISHUN AVE 9,0.20649674147587865,18
870 WOODLANDS ST 81,0.2511929556365596,13
205A PUNGGOL FIELD,0.42856886564974395,18
2 HOLLAND AVE,0.10332375657594835,12
556 JURONG WEST ST 42,0.27022217904700185,7
20 LOR 7 TOA PAYOH,0.31660726168393616,17
607 HOUGANG AVE 4,0.33924048510164057,20
175 WOODLANDS ST 13,0.4272816169193667,8
11 HOLLAND DR,0.153102312427244,13
981D BUANGKOK CRES,0.044095655243588605,19
680 WOODLANDS AVE 6,0.1000373694751253,15
346 WOODLANDS ST 32,0.3536866311372646,8
115 BEDOK NTH RD,8.84598999099483e-07,20
276 YISHUN ST 22,0.19069881147784182,15
668C JURONG WEST ST 64,0.30381357664843217,9
19 GHIM MOH RD,0.15021111461043468,13
482 SEGAR RD,0.31899588805509776,8
103 HOUGANG AVE 1,0.17823671947200137,10
22 EUNOS CRES,0.42614921353834495,20
738 JURONG WEST ST 75,0.43063247183272707,10
34 CIRCUIT RD,0.09144956729247106,21
221 PENDING RD,0.2687663405662244,10
179 WOODLANDS ST 13,0.5240886778341248,8
596C ANG MO KIO ST 52,0.34531701236531914,13
164 WOODLANDS ST 13,0.05797165204600273,6
418 PASIR RIS DR 6,0.5240058250119213,11
574 HOUGANG ST 51,0.2205392901648404,20
49 LOR 5 TOA PAYOH,0.3274777691533284,17
805 KING GEORGE'S AVE,0.008288631365770401,29
432 JURONG WEST ST 42,0.3405347162865095,7
27 BALAM RD,0.22109977771268513,18
675B JURONG WEST ST 64,0.3361857056854934,10
