flat,school,school_dist,num_school_2km
296 YISHUN ST 20,Yishun Primary School,0.2661552059119019,10
210 BT BATOK ST 21,Bukit View Primary School,0.4075383923651131,8
651 YISHUN AVE 4,Northland Primary School,0.29544052313691443,11
520 JELAPANG RD,Greenridge Primary School,0.1595866060303752,7
405B FERNVALE LANE,Fernvale Primary School,0.11868046872170301,9
612 ELIAS RD,Elias Park Primary School,0.3737697254860671,6
109A DEPOT RD,Blangah Rise Primary School,0.5411824905313486,8
206D COMPASSVALE LANE,Seng Kang Primary School,0.3569406742954785,18
411B FERNVALE RD,Fernvale Primary School,0.3294985539721116,10
786D WOODLANDS DR 60,Riverside Primary School,0.12506879398542467,10
104 BEDOK RESERVOIR RD,Telok Kurau Primary School,0.2432821506146848,6
10 JLN KUKOH,River Valley Primary School,0.8667619700086595,4
538 JURONG WEST AVE 1,Rulang Primary School,0.525550801029118,8
352 TAMPINES ST 33,East Spring Primary School,0.1435753385708941,8
370 WOODLANDS AVE 1,Si Ling Primary School,0.17988769226227258,10
314 TAMPINES ST 33,East Spring Primary School,0.5277544287715357,9
808 TAMPINES AVE 4,Junyuan Primary School,0.429304092762861,11
602 WOODLANDS DR 42,Woodlands Ring Primary School,0.41395693908229836,10
271C PUNGGOL WALK,Punggol Green Primary School,0.34519575291446675,15
37 TANGLIN HALT RD,New Town Primary School,0.3127655885096693,3
401 CHOA CHU KANG AVE 3,Chua Chu Kang Primary School,0.31791337430205924,6
301 JURONG EAST ST 32,Jurong Primary School,0.5852932220274316,6
795A YISHUN RING RD,Peiying Primary School,0.3593039666206725,10
41 HOLLAND DR,New Town Primary School,1.126514364693123,3
633 VEERASAMY RD,Stamford Primary School,0.3259465050671882,4
5 BEDOK STH AVE 2,Bedok Green Primary School,0.42244662473522865,7
347B YISHUN AVE 11,Huamin Primary School,0.21122589803890404,11
2A BOON TIONG RD,Zhangde Primary School,0.8122858149792316,8
246 BISHAN ST 22,Catholic High School (Primary),0.6998833114431396,12
35 CIRCUIT RD,Canossa Catholic Primary School,0.5565957243275981,7
252 HOUGANG AVE 3,Xinghua Primary School,0.3669063718967738,5
611 JURONG WEST ST 65,Jurong West Primary School,0.20984367022575753,10
375 CLEMENTI AVE 4,Pei Tong Primary School,0.27645930171981553,5
192 PASIR RIS ST 12,White Sands Primary School,0.22539724254889987,9
157 YISHUN ST 11,Yishun Primary School,0.14154917401028894,11
111 EDGEFIELD PLAINS,Mee Toh School,0.2998502214554926,17
23 BENDEMEER RD,Bendemeer Primary School,0.5734852376327798,4
34 CASSIA CRES,Kong Hwa School,0.4467291576843176,4
17 EUNOS CRES,Eunos Primary School,0.11263337199598498,5
761 CHOA CHU KANG NTH 5,Kranji Primary School,0.10368849566964172,9
248 JURONG EAST ST 24,Yuhua Primary School,0.110730286023008,6
771 WOODLANDS DR 60,Riverside Primary School,0.44219939736365654,8
6B BOON TIONG RD,Zhangde Primary School,0.5674766217328249,8
5 SEMBAWANG RD,Mayflower Primary School,0.9223030407122682,6
212 BT BATOK ST 21,Bukit View Primary School,0.20573477647632837,7
140 BISHAN ST 12,Guangyang Primary School,0.44517109347207595,12
988B BUANGKOK GREEN,Hougang Primary School,0.46598599667501284,11
980B BUANGKOK CRES,Hougang Primary School,0.18640291078666665,15
860 TAMPINES AVE 5,Poi Ching School,0.38297819336793215,8
787 CHOA CHU KANG NTH 6,Kranji Primary School,0.2145412006230773,7
281 TAMPINES ST 22,Angsana Primary School,0.18472938498781244,9
183D RIVERVALE CRES,Mee Toh School,0.37678137240980725,14
146 JLN BT MERAH,Radin Mas Primary School,0.818427483051783,8
