flat,school,school_dist,num_school_2km,hawker,hawker_dist,num_hawker_2km,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_dhoby
319 SERANGOON AVE 2,Yangzheng Primary School,0.3943997212938235,9,Serangoon Garden Market,1.184678352317317,3,0.51681569828206,20,NEX,0.4714945692652008,2,LORONG CHUAN MRT STATION,0.4456470927472832,5,0.3545292734274211,9,6.406353608494173
19 HOUGANG AVE 3,Holy Innocents' Primary School,0.3868101875894931,9,Market Street Food Centre,0.8239148894733558,2,0.4466100786273229,13,The Midtown,0.826624981923784,6,HOUGANG MRT STATION,0.8318650787034113,2,0.268892619690932,14,8.811949963695708
432A YISHUN AVE 1,Northland Primary School,0.7298117984092245,6,Chong Pang Market & Food Centre,2.4740820229463627,0,0.7467055147587426,3,Wisteria Mall,0.6622340618159952,3,KHATIB MRT STATION,1.579468624736576,2,0.4122319208948109,13,13.270352879961264
515 JURONG WEST ST 52,Shuqun Primary School,0.1740878978432691,6,Blk 505 Jurong West Street 52,0.4416781287584834,4,0.7251436270352127,4,Boon Lay Shopping Centre,0.9074387328106795,3,LAKESIDE MRT STATION,0.2294732509171117,3,0.4670908815774804,11,14.814567273451383
754 PASIR RIS ST 71,Meridian Primary School,0.1793660813906332,3,Market Street Food Centre,3.6641213043087433,0,0.9565391792024396,2,Elias Mall,0.893344383774178,2,PASIR RIS MRT STATION,1.749513497234536,1,0.3705650907010571,5,13.107813197566115
6 HAIG RD,Haig Girls' School,0.6250764662467195,8,Blks 13/14 Haig Road,0.2813774281206399,10,0.2676644036073854,14,City Plaza,0.4593195660667414,11,PAYA LEBAR MRT STATION,0.7164384399354238,10,0.313136179911365,24,5.9793020807260415
606 BEDOK RESERVOIR RD,Telok Kurau Primary School,0.2748779114157058,6,Blk 538 Bedok North Street 3,1.2572088134831647,4,0.3214991765622055,10,Djitsun Mall,1.849439743530321,3,BEDOK NORTH MRT STATION,0.6044445399848132,6,0.0993566755953645,16,8.402059966065556
144 TECK WHYE LANE,Teck Whye Primary School,0.3304320148084211,11,Market Street Food Centre,4.435169989102593,0,0.7609916949991826,6,Teck Whye Shopping Centre,0.0862544641299201,11,KEAT HONG LRT STATION,0.4510184521430795,14,0.0582595935089054,15,13.70883735092428
960 HOUGANG AVE 9,Hougang Primary School,0.3161147746766038,11,Chomp Chomp Food Centre,1.945683688919328,1,0.4521205242616805,19,Hougang 1,0.1917846557974681,7,TONGKANG LRT STATION,1.581692812652754,6,0.1945096994958162,17,9.361952610292642
440B FERNVALE LINK,Sengkang Green Primary School,0.3353914861890895,9,Chomp Chomp Food Centre,3.4623624511919537,0,0.7946684862392168,13,The Seletar Mall,0.3117050223238912,6,LAYAR LRT STATION,0.2480896313501369,10,0.3168476261831546,12,11.016558871831279
288A BT BATOK ST 25,Keming Primary School,0.4730672144991168,5,Bukit Timah Market,1.8359108006063425,1,0.5821104921705943,21,West Mall,1.398103672207901,4,BUKIT BATOK MRT STATION,1.29187276933306,3,0.4022759811667488,15,10.706070310749304
5 HAIG RD,Haig Girls' School,0.6809200654848654,8,Blks 13/14 Haig Road,0.3026889443752163,9,0.2889309130365557,14,City Plaza,0.4298061565813286,11,PAYA LEBAR MRT STATION,0.7271437815433148,9,0.3047757657334118,23,5.895736704008433
643 PASIR RIS DR 10,Park View Primary School,0.1918101735766391,3,Market Street Food Centre,3.611147405928495,0,0.7071655904460805,5,Elias Mall,0.4567629126970614,3,PASIR RIS MRT STATION,1.3606750256231903,1,0.2961635640488901,6,13.477043517773224
110A PUNGGOL FIELD,Mee Toh School,0.1612352330455604,13,Market Street Food Centre,4.841597333577784,0,0.7918350509543477,3,Punggol Plaza,0.46356353078467,6,MERIDIAN LRT STATION,0.0957221047462013,21,0.0622378432772621,15,12.858218440999751
160 YUNG PING RD,Lakeside Primary School,1.0920763315871511,4,Taman Jurong Market & Food Centre,0.6036220980353192,2,1.252502824200003,4,Taman Jurong Shopping Centre,0.6423841547763779,1,LAKESIDE MRT STATION,1.673870592875491,2,0.3657553797268789,10,14.165037225482479
247 TAMPINES ST 21,Tampines Primary School,0.4212057210504025,10,Market Street Food Centre,0.7632662392241081,1,0.8181283707389005,9,Tampines Mall,0.2487607130625252,5,TAMPINES MRT STATION,0.2293401701082819,6,0.2841632346129435,16,12.736812314845636
180A RIVERVALE CRES,Mee Toh School,0.5213553202100527,13,Market Street Food Centre,4.330015776264679,0,0.672912186370858,3,Punggol Plaza,0.5722533878907465,6,RUMBIA LRT STATION,0.4300446308038491,17,0.5722533878907465,16,12.345510691121717
116 BT MERAH CTRL,Gan Eng Seng Primary School,0.2277715125448956,8,Blk 115 Bukit Merah View,0.805921158708861,7,0.7467857656330643,7,Alexandra Central,1.1347900687389358,6,REDHILL MRT STATION,0.6576230748235289,5,0.2778954864681222,17,3.777746636553511
332 SERANGOON AVE 3,Yangzheng Primary School,0.3037818068862508,9,Serangoon Garden Market,1.3961364406365255,4,0.5320703391830942,24,NEX,0.1903623598709448,3,SERANGOON MRT STATION,0.2461916261454433,6,0.1808073021540681,9,6.353871537593962
723 CLEMENTI WEST ST 2,Qifa Primary School,1.26997207333288,4,Blk 726 Clementi West Street 2,0.121016554842173,3,0.5208921177795754,8,West Coast Plaza,0.306552807480652,5,CLEMENTI MRT STATION,1.3276846211189488,2,0.0798609681568422,9,9.121252669699707
111 CLEMENTI ST 13,Pei Tong Primary School,0.8757207082588296,7,Blk 353 Clementi Ave 2,0.977406355172686,3,0.2378039749563159,26,The Clementi Mall,1.122894641575911,4,CLEMENTI MRT STATION,1.11915433873753,3,0.1541035806589299,12,8.666245835230045
706 WOODLANDS DR 40,Admiralty Primary School,0.4984028819389838,10,Blks 20/21 Marsiling Lane,2.213273879563545,0,1.6987523228996142,2,888 Plaza,0.3315038209233851,4,ADMIRALTY MRT STATION,0.4880105759905272,4,0.3313203276239235,14,16.447172986704622
